Subject,Age_Month,Stimuli,Types,Correct,Repeated,Group,VMA,Raven,Sex
Subject 1 ASD subjects,125,1,Existential,VRAI,1,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,2,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,3,Lexical,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,4,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,5,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,6,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,7,Lexical,FAUX,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,8,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,9,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,10,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,11,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,12,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,13,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,14,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,16,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,17,Existential,FAUX,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,18,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,19,Lexical,FAUX,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,20,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,21,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,22,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,23,Lexical,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,24,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,25,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,26,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,27,Lexical,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,28,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,29,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,30,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,31,Lexical,FAUX,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,33,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,34,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,35,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,36,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,37,Existential,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,38,Factive,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,39,Lexical,VRAI,0,ASD subjects,92-103,114,M
Subject 1 ASD subjects,125,40,Structural,VRAI,0,ASD subjects,92-103,114,M
Subject 2 ASD subjects,106,1,Existential,FAUX,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,2,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,3,Lexical,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,4,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,5,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,6,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,7,Lexical,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,8,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,9,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,10,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,11,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,12,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,13,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,14,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,16,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,17,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,18,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,19,Lexical,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,20,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,21,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,22,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,23,Lexical,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,24,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,25,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,26,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,27,Lexical,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,28,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,29,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,30,Factive,FAUX,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,31,Lexical,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,33,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,34,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,35,Factive,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,36,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,37,Existential,VRAI,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,38,Factive,FAUX,0,ASD subjects,80-91,127,M
Subject 2 ASD subjects,106,39,Lexical,VRAI,0,ASD subjects,80-91,127,M
